# Starting Date: Fri Nov 15 09:02:08 AEDT 2019
# Termination Date: Fri Nov 15 09:02:29 AEDT 2019
# Time Used: 00:21
# Directory: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov
# File: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov/CeO2-10.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 194 	 -45887.9344131540 	 8	 	 0.000543 NO	 	 0.000085 YES	 	 0.000466 YES	 	 0.000079 YES	           0.002
 	 231 	 -45887.9344396340 	 7	 	 0.000548 NO	 	 0.000082 YES	 	 0.000204 YES	 	 0.000027 YES	           0.032
 	 232 	 -45887.9344397450 	 7	 	 0.000548 NO	 	 0.000082 YES	 	 0.000088 YES	 	 0.000014 YES	           0.064
xxx 	 233 	 -45887.9344395400 	 6	 	 0.000548 NO	 	 0.000082 YES	 	 0.000021 YES	 	 0.000003 YES	           0.000
xxx 	 234 	 -45887.9344373040 	 3	 	 0.000548 NO	 	 0.000082 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
 	 235 	 -45887.9344397280 	 10	 	 0.000547 NO	 	 0.000082 YES	 	 0.000288 YES	 	 0.000040 YES	           0.000
 	 236 	 -45887.9345288830 	 7	 	 0.000546 NO	 	 0.000085 YES	 	 0.000210 YES	 	 0.000040 YES	           0.000
 	 237 	 -45887.9345290820 	 7	 	 0.000546 NO	 	 0.000084 YES	 	 0.000487 YES	 	 0.000079 YES	           0.002
 	 238 	 -45887.9345290980 	 8	 	 0.000546 NO	 	 0.000083 YES	 	 0.000113 YES	 	 0.000020 YES	           0.000
xxx 	 239 	 -45887.9345286460 	 3	 	 0.000546 NO	 	 0.000083 YES	 	 0.000028 YES	 	 0.000005 YES	           0.000
 	 240 	 -45887.9345291240 	 11	 	 0.000546 NO	 	 0.000083 YES	 	 0.000066 YES	 	 0.000010 YES	           0.000
xxx 	 241 	 -45887.9345251020 	 3	 	 0.000546 NO	 	 0.000083 YES	 	 0.000018 YES	 	 0.000002 YES	           0.000
xxx 	 242 	 -45887.9345287400 	 11	 	 0.000546 NO	 	 0.000083 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
 	 243 	 -45887.9345291240 	 8	 	 0.000546 NO	 	 0.000083 YES	 	 0.000280 YES	 	 0.000040 YES	           0.000
 	 244 	 -45887.9345607840 	 8	 	 0.000547 NO	 	 0.000083 YES	 	 0.000299 YES	 	 0.000040 YES	           0.000
xxx 	 245 	 -45887.9345596490 	 3	 	 0.000547 NO	 	 0.000083 YES	 	 0.000077 YES	 	 0.000010 YES	           0.000
 	 246 	 -45887.9345608570 	 11	 	 0.000546 NO	 	 0.000083 YES	 	 0.000133 YES	 	 0.000020 YES	           0.000
xxx 	 247 	 -45887.9345145470 	 3	 	 0.000546 NO	 	 0.000083 YES	 	 0.000035 YES	 	 0.000005 YES	           0.000
 	 248 	 -45887.9345608040 	 28	 	 0.000546 NO	 	 0.000083 YES	 	 0.000011 YES	 	 0.000001 YES	           0.000
 	 249 	 -45887.9345608480 	 7	 	 0.000546 NO	 	 0.000083 YES	 	 0.000026 YES	 	 0.000002 YES	           0.000
 	 250 	 -45887.9345608690 	 6	 	 0.000546 NO	 	 0.000083 YES	 	 0.000053 YES	 	 0.000005 YES	           0.000
 	 251 	 -45887.9345609060 	 6	 	 0.000546 NO	 	 0.000083 YES	 	 0.000100 YES	 	 0.000010 YES	           0.000
 	 252 	 -45887.9345609490 	 6	 	 0.000545 NO	 	 0.000083 YES	 	 0.000162 YES	 	 0.000020 YES	           0.000
 	 253 	 -45887.9345610590 	 6	 	 0.000544 NO	 	 0.000083 YES	 	 0.000209 YES	 	 0.000028 YES	           0.001
xxx 	 254 	 -45887.9345575000 	 3	 	 0.000544 NO	 	 0.000083 YES	 	 0.000067 YES	 	 0.000007 YES	           0.000
 	 255 	 -45887.9345609820 	 12	 	 0.000543 NO	 	 0.000083 YES	 	 0.000019 YES	 	 0.000002 YES	           0.000
 	 256 	 -45887.9345610700 	 8	 	 0.000544 NO	 	 0.000083 YES	 	 0.000036 YES	 	 0.000003 YES	           0.000
 	 257 	 -45887.9345611170 	 7	 	 0.000544 NO	 	 0.000083 YES	 	 0.000053 YES	 	 0.000007 YES	           0.000
 	 258 	 -45887.9345611390 	 6	 	 0.000544 NO	 	 0.000083 YES	 	 0.000101 YES	 	 0.000014 YES	           0.000
 	 259 	 -45887.9345611940 	 7	 	 0.000544 NO	 	 0.000083 YES	 	 0.000071 YES	 	 0.000010 YES	           0.001
xxx 	 260 	 -45887.9345610940 	 3	 	 0.000544 NO	 	 0.000083 YES	 	 0.000017 YES	 	 0.000003 YES	           0.000
 	 261 	 -45887.9345611660 	 10	 	 0.000543 NO	 	 0.000083 YES	 	 0.000004 YES	 	 0.000001 YES	           0.000
 	 262 	 -45887.9345611990 	 7	 	 0.000543 NO	 	 0.000083 YES	 	 0.000009 YES	 	 0.000001 YES	           0.000
 	 263 	 -45887.9345612180 	 4	 	 0.000541 NO	 	 0.000083 YES	 	 0.000017 YES	 	 0.000003 YES	           0.000
 	 264 	 -45887.9345612160 	 5	 	 0.000543 NO	 	 0.000083 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
 	 265 	 -45887.9345612180 	 8	 	 0.000543 NO	 	 0.000083 YES	 	 0.000007 YES	 	 0.000001 YES	           0.000
 	 266 	 -45887.9345612630 	 3	 	 0.000541 NO	 	 0.000083 YES	 	 0.000021 YES	 	 0.000003 YES	           0.000
 	 267 	 -45887.9345612140 	 7	 	 0.000542 NO	 	 0.000083 YES	 	 0.000003 YES	 	 0.000001 YES	           0.000
 	 268 	 -45887.9345612110 	 6	 	 0.000543 NO	 	 0.000083 YES	 	 0.000320 YES	 	 0.000040 YES	           0.000
 	 269 	 -45887.9344001030 	 3	 	 0.000633 NO	 	 0.000103 YES	 	 0.000260 YES	 	 0.000040 YES	           0.000
 	 270 	 -45887.9344119370 	 18	 	 0.000555 NO	 	 0.000084 YES	 	 0.000514 YES	 	 0.000079 YES	           0.002
 	 271 	 -45887.9344118930 	 8	 	 0.000547 NO	 	 0.000082 YES	 	 0.000144 YES	 	 0.000020 YES	           0.000
 	 272 	 -45887.9344118390 	 8	 	 0.000548 NO	 	 0.000082 YES	 	 0.000050 YES	 	 0.000005 YES	           0.000
 	 273 	 -45887.9344118200 	 7	 	 0.000549 NO	 	 0.000082 YES	 	 0.000011 YES	 	 0.000001 YES	           0.000
 	 274 	 -45887.9344118040 	 6	 	 0.000550 NO	 	 0.000082 YES	 	 0.000240 YES	 	 0.000040 YES	           0.000
 	 275 	 -45887.9345652430 	 3	 	 0.000545 NO	 	 0.000081 YES	 	 0.000291 YES	 	 0.000040 YES	           0.000
 	 276 	 -45887.9345664090 	 8	 	 0.000550 NO	 	 0.000084 YES	 	 0.000505 YES	 	 0.000079 YES	           0.002
 	 277 	 -45887.9345668920 	 8	 	 0.000556 NO	 	 0.000083 YES	 	 0.001506 YES	 	 0.000159 YES	           0.004
 	 278 	 -45887.9345670070 	 8	 	 0.000554 NO	 	 0.000082 YES	 	 0.002311 NO	 	 0.000317 YES	           0.008
xxx 	 279 	 -45887.9345668950 	 8	 	 0.000554 NO	 	 0.000082 YES	 	 0.000791 YES	 	 0.000079 YES	           0.002
xxx 	 280 	 -45887.9345646620 	 3	 	 0.000554 NO	 	 0.000082 YES	 	 0.000191 YES	 	 0.000020 YES	           0.000
 	 281 	 -45887.9345670040 	 11	 	 0.000552 NO	 	 0.000082 YES	 	 0.000051 YES	 	 0.000005 YES	           0.000
 	 282 	 -45887.9345669870 	 7	 	 0.000551 NO	 	 0.000082 YES	 	 0.000012 YES	 	 0.000001 YES	           0.000
xxx 	 283 	 -45887.9345654660 	 3	 	 0.000551 NO	 	 0.000082 YES	 	 0.000362 YES	 	 0.000040 YES	           0.000
 	 284 	 -45887.9344095600 	 10	 	 0.000551 NO	 	 0.000084 YES	 	 0.000312 YES	 	 0.000040 YES	           0.000
 	 285 	 -45887.9344096510 	 6	 	 0.000552 NO	 	 0.000082 YES	 	 0.000263 YES	 	 0.000040 YES	           0.001
 	 286 	 -45887.9344097510 	 9	 	 0.000552 NO	 	 0.000082 YES	 	 0.000234 YES	 	 0.000040 YES	           0.001
xxx 	 287 	 -45887.9344090210 	 3	 	 0.000552 NO	 	 0.000082 YES	 	 0.000081 YES	 	 0.000010 YES	           0.000
 	 288 	 -45887.9344098000 	 8	 	 0.000552 NO	 	 0.000081 YES	 	 0.000128 YES	 	 0.000020 YES	           0.000
 	 289 	 -45887.9344097100 	 8	 	 0.000554 NO	 	 0.000081 YES	 	 0.000037 YES	 	 0.000005 YES	           0.000
xxx 	 290 	 -45887.9344041600 	 3	 	 0.000554 NO	 	 0.000081 YES	 	 0.000011 YES	 	 0.000001 YES	           0.000
xxx 	 291 	 -45887.9344094870 	 12	 	 0.000554 NO	 	 0.000081 YES	 	 0.000234 YES	 	 0.000040 YES	           0.000
 	 292 	 -45887.9345653690 	 9	 	 0.000555 NO	 	 0.000083 YES	 	 0.000309 YES	 	 0.000040 YES	           0.000
 	 293 	 -45887.9345660780 	 7	 	 0.000554 NO	 	 0.000082 YES	 	 0.000426 YES	 	 0.000079 YES	           0.002
 	 294 	 -45887.9345664120 	 7	 	 0.000553 NO	 	 0.000082 YES	 	 0.001084 YES	 	 0.000159 YES	           0.004
 	 295 	 -45887.9345665550 	 8	 	 0.000554 NO	 	 0.000082 YES	 	 0.002197 NO	 	 0.000313 YES	           0.008
xxx 	 296 	 -45887.9345663800 	 8	 	 0.000554 NO	 	 0.000082 YES	 	 0.000540 YES	 	 0.000078 YES	           0.002
xxx 	 297 	 -45887.9345655160 	 3	 	 0.000554 NO	 	 0.000082 YES	 	 0.000180 YES	 	 0.000020 YES	           0.000
 	 298 	 -45887.9345665090 	 10	 	 0.000553 NO	 	 0.000082 YES	 	 0.000047 YES	 	 0.000005 YES	           0.000
 	 299 	 -45887.9345665180 	 7	 	 0.000554 NO	 	 0.000082 YES	 	 0.000087 YES	 	 0.000010 YES	           0.000
xxx 	 300 	 -45887.9345662270 	 3	 	 0.000554 NO	 	 0.000082 YES	 	 0.000023 YES	 	 0.000002 YES	           0.000
 	 301 	 -45887.9345665150 	 8	 	 0.000555 NO	 	 0.000082 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
xxx 	 302 	 -45887.9345655410 	 2	 	 0.000555 NO	 	 0.000082 YES	 	 0.000322 YES	 	 0.000040 YES	           0.000
 	 303 	 -45887.9344115780 	 11	 	 0.000556 NO	 	 0.000083 YES	 	 0.000320 YES	 	 0.000040 YES	           0.000
 	 304 	 -45887.9344116040 	 6	 	 0.000559 NO	 	 0.000082 YES	 	 0.000065 YES	 	 0.000010 YES	           0.000
 	 305 	 -45887.9344116650 	 7	 	 0.000559 NO	 	 0.000082 YES	 	 0.000115 YES	 	 0.000020 YES	           0.000
xxx 	 306 	 -45887.9344097320 	 3	 	 0.000559 NO	 	 0.000082 YES	 	 0.000034 YES	 	 0.000005 YES	           0.000
 	 307 	 -45887.9344116610 	 12	 	 0.000558 NO	 	 0.000081 YES	 	 0.000010 YES	 	 0.000001 YES	           0.000
 	 308 	 -45887.9344116850 	 6	 	 0.000559 NO	 	 0.000081 YES	 	 0.000020 YES	 	 0.000002 YES	           0.000
 	 309 	 -45887.9344116850 	 6	 	 0.000559 NO	 	 0.000081 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
xxx 	 310 	 -45887.9344114880 	 2	 	 0.000559 NO	 	 0.000081 YES	 	 0.000232 YES	 	 0.000040 YES	           0.000
 	 311 	 -45887.9345654250 	 9	 	 0.000559 NO	 	 0.000082 YES	 	 0.000302 YES	 	 0.000040 YES	           0.000
 	 312 	 -45887.9345657500 	 6	 	 0.000559 NO	 	 0.000082 YES	 	 0.000430 YES	 	 0.000069 YES	           0.002
 	 313 	 -45887.9345659630 	 8	 	 0.000556 NO	 	 0.000082 YES	 	 0.000775 YES	 	 0.000094 YES	           0.004
xxx 	 314 	 -45887.9345545810 	 3	 	 0.000556 NO	 	 0.000082 YES	 	 0.000191 YES	 	 0.000023 YES	           0.001
 	 315 	 -45887.9345658780 	 15	 	 0.000559 NO	 	 0.000083 YES	 	 0.000048 YES	 	 0.000006 YES	           0.000
 	 316 	 -45887.9345660010 	 6	 	 0.000558 NO	 	 0.000082 YES	 	 0.000114 YES	 	 0.000012 YES	           0.000
 	 317 	 -45887.9345660040 	 7	 	 0.000557 NO	 	 0.000082 YES	 	 0.000217 YES	 	 0.000023 YES	           0.001
 	 318 	 -45887.9345660600 	 7	 	 0.000557 NO	 	 0.000082 YES	 	 0.000175 YES	 	 0.000026 YES	           0.001
 	 319 	 -45887.9345660880 	 6	 	 0.000557 NO	 	 0.000082 YES	 	 0.000222 YES	 	 0.000027 YES	           0.002
 	 320 	 -45887.9345660780 	 6	 	 0.000556 NO	 	 0.000082 YES	 	 0.000044 YES	 	 0.000007 YES	           0.000
xxx 	 321 	 -45887.9345651300 	 3	 	 0.000556 NO	 	 0.000082 YES	 	 0.000013 YES	 	 0.000002 YES	           0.000
 	 322 	 -45887.9345660190 	 10	 	 0.000556 NO	 	 0.000081 YES	 	 0.000003 YES	 	 0.000000 YES	           0.000
 	 323 	 -45887.9345660430 	 7	 	 0.000556 NO	 	 0.000082 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
 	 324 	 -45887.9345660480 	 7	 	 0.000556 NO	 	 0.000082 YES	 	 0.000010 YES	 	 0.000002 YES	           0.000
xxx 	 325 	 -45887.9345643140 	 3	 	 0.000556 NO	 	 0.000082 YES	 	 0.000002 YES	 	 0.000000 YES	           0.000
 	 326 	 -45887.9345660330 	 10	 	 0.000555 NO	 	 0.000082 YES	 	 0.000234 YES	 	 0.000040 YES	           0.000
 	 327 	 -45887.9344110630 	 8	 	 0.000555 NO	 	 0.000084 YES	 	 0.000275 YES	 	 0.000040 YES	           0.000
 	 328 	 -45887.9344112010 	 7	 	 0.000554 NO	 	 0.000082 YES	 	 0.000277 YES	 	 0.000040 YES	           0.001
xxx 	 329 	 -45887.9344109290 	 7	 	 0.000554 NO	 	 0.000082 YES	 	 0.000076 YES	 	 0.000010 YES	           0.000
xxx 	 330 	 -45887.9344109340 	 8	 	 0.000554 NO	 	 0.000082 YES	 	 0.000020 YES	 	 0.000002 YES	           0.000
 	 331 	 -45887.9344111860 	 7	 	 0.000555 NO	 	 0.000082 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
xxx 	 332 	 -45887.9344109020 	 3	 	 0.000555 NO	 	 0.000082 YES	 	 0.000235 YES	 	 0.000040 YES	           0.000
 	 333 	 -45887.9345651270 	 10	 	 0.000554 NO	 	 0.000082 YES	 	 0.000202 YES	 	 0.000040 YES	           0.000
xxx 	 334 	 -45887.9345649070 	 7	 	 0.000554 NO	 	 0.000082 YES	 	 0.000052 YES	 	 0.000010 YES	           0.000
xxx 	 335 	 -45887.9345611310 	 3	 	 0.000554 NO	 	 0.000082 YES	 	 0.000014 YES	 	 0.000002 YES	           0.000
 	 336 	 -45887.9345650980 	 11	 	 0.000553 NO	 	 0.000082 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
 	 337 	 -45887.9345651640 	 7	 	 0.000554 NO	 	 0.000082 YES	 	 0.000011 YES	 	 0.000001 YES	           0.000
 	 338 	 -45887.9345651600 	 6	 	 0.000554 NO	 	 0.000082 YES	 	 0.000316 YES	 	 0.000040 YES	           0.000
 	 339 	 -45887.9345420140 	 8	 	 0.000553 NO	 	 0.000082 YES	 	 0.000316 YES	 	 0.000040 YES	           0.000
xxx 	 340 	 -45887.9345411530 	 3	 	 0.000553 NO	 	 0.000082 YES	 	 0.000074 YES	 	 0.000010 YES	           0.000
 	 341 	 -45887.9345419790 	 11	 	 0.000553 NO	 	 0.000082 YES	 	 0.000023 YES	 	 0.000002 YES	           0.000
xxx 	 342 	 -45887.9345109360 	 3	 	 0.000553 NO	 	 0.000082 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
xxx 	 343 	 -45887.9345416950 	 21	 	 0.000553 NO	 	 0.000082 YES	 	 0.000245 YES	 	 0.000040 YES	           0.000
 	 344 	 -45887.9344603430 	 6	 	 0.000555 NO	 	 0.000084 YES	 	 0.000242 YES	 	 0.000040 YES	           0.000
xxx 	 345 	 -45887.9344599610 	 9	 	 0.000555 NO	 	 0.000084 YES	 	 0.000077 YES	 	 0.000010 YES	           0.000
xxx 	 346 	 -45887.9344602020 	 7	 	 0.000555 NO	 	 0.000084 YES	 	 0.000022 YES	 	 0.000002 YES	           0.000
xxx 	 347 	 -45887.9344602060 	 7	 	 0.000555 NO	 	 0.000084 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
xxx 	 348 	 -45887.9344601970 	 5	 	 0.000555 NO	 	 0.000084 YES	 	 0.000242 YES	 	 0.000040 YES	           0.000
# Done!
